name,code,league,group,elo,attack_strength,defense_strength,id
España,ESP,A,A3,2259,1.8937,0.5587,1
Inglaterra,ING,A,A3,2125,1.5973,0.6207,2
Francia,FRA,A,A1,2070,1.6825,0.62,3
Portugal,POR,A,A4,1995,1.7044,0.6447,4
Paises Bajos,PAB,A,A2,1971,1.7507,0.7393,5
Noruega,NOR,A,A4,1951,1.7823,0.8159,6
Bélgica,BEL,A,A1,1947,1.6239,0.7124,7
Suiza,SUI,B,B1,1928,1.3939,0.7536,8
Alemania,ALE,A,A2,1908,1.71,0.7728,9
Croacia,CRO,A,A3,1881,1.3656,0.7439,10
Dinamarca,DIN,A,A4,1869,1.3064,0.7527,11
Italia,ITA,A,A1,1869,1.321,0.809,12
Turquía,TUR,A,A1,1852,1.3657,0.8474,13
Austria,AUS,B,B3,1821,1.369,0.7732,14
Ucrania,UCR,B,B2,1780,1.2016,0.9038,15
Escocia,ESC,B,B1,1745,1.1426,0.8341,17
Grecia,GRE,A,A2,1744,1.174,0.7773,18
Serbia,SER,A,A2,1734,1.014,0.8425,19
Suecia,SUE,B,B4,1731,1.3217,1.028,20
Kosovo,KOS,B,B3,1714,1.0754,0.8237,21
Hungría,HUN,B,B2,1710,1.0135,0.8802,22
Polonia,POL,B,B4,1710,1.1082,0.9138,23
Irlanda,IRL,B,B3,1699,0.9535,0.8316,24
Gales,GAL,A,A4,1682,1.0641,0.8697,25
Eslovenia,ESN,B,B1,1682,0.8906,0.7699,26
República Checa,REC,A,A3,1680,1.1834,0.9201,27
Eslovaquia,ESQ,C,C3,1667,0.9778,0.8775,28
Georgia,GEO,B,B2,1653,1.167,0.9298,29
Israel,ISR,B,B3,1647,1.1851,1.0807,30
Rumanía,RUM,B,B4,1639,1.099,0.8282,31
Albania,ALB,C,C1,1616,0.8258,0.7689,32
Irlanda del Norte,IDN,B,B2,1605,0.9177,0.8614,33
Bosnia-Herzegovina,BOH,B,B4,1605,0.963,0.9983,34
Macedonia del Norte,MCN,B,B1,1589,0.8829,0.9708,35
Islandia,ISL,C,C4,1568,1.1241,1.0528,36
Finlandia,FIN,C,C1,1536,0.9148,0.9831,37
Bielorrusia,BIE,C,C1,1522,0.9047,1.0488,38
Montenegro,MON,C,C2,1461,0.8479,1.0917,39
Bulgaria,BUL,C,C4,1458,0.9454,1.12,40
Luxemburgo,LUX,C,C4,1450,0.7161,1.0249,41
Kazajistán,KAZ,C,C3,1428,0.827,1.0562,42
Islas Feroe,ISF,C,C3,1385,0.7512,0.9338,43
Armenia,ARM,C,C2,1373,0.8209,1.385,44
Estonia,EST,C,C4,1360,0.7581,1.1518,45
Azerbaiyán,AZE,D,D2,1322,0.812,1.2091,46
Chipre,CHI,C,C2,1314,0.8391,1.2159,47
Letonia,LET,C,C2,1288,0.701,1.1509,48
Lituania,LIT,D,D2,1278,0.6844,1.0761,49
Moldavia,MOL,C,C3,1270,0.7734,1.3739,50
Malta,MAL,D,D1,1255,0.7077,1.1871,51
Andorra,AND,D,D1,1080,0.5751,1.1179,52
Gibraltar,GIB,D,D1,1011,0.6587,1.6265,53
Liechtenstein,LIE,D,D2,895,0.5353,1.6798,54
San Marino,SAM,C,C1,825,0.5901,1.8838,55
