name,code,league,group,elo,id,attack,defense
Espana,ESP,A,A3,2259,1,0.915874,-1.228520
Inglaterra,ING,A,A3,2125,2,0.897945,-0.494991
Francia,FRA,A,A1,2070,3,0.889653,-0.550294
Portugal,POR,A,A4,1995,4,0.784147,-0.682126
Paises Bajos,PAB,A,A2,1971,5,0.838863,-0.426194
Noruega,NOR,A,A4,1951,6,0.915964,-0.224106
Belgica,BEL,A,A1,1947,7,0.683302,-0.407744
Suiza,SUI,B,B1,1928,8,0.605059,-0.492375
Alemania,ALE,A,A2,1908,9,0.934239,-0.294328
Croacia,CRO,A,A3,1881,10,0.501460,-0.287417
Dinamarca,DIN,A,A4,1869,11,0.569362,-0.386493
Italia,ITA,A,A1,1869,12,0.503733,-0.342566
Turquia,TUR,A,A1,1852,13,0.508715,-0.181406
Austria,AUS,B,B3,1821,14,0.457116,-0.229873
Ucrania,UCR,B,B2,1780,15,0.308443,-0.030453
Escocia,ESC,B,B1,1745,17,0.232440,-0.267626
Grecia,GRE,A,A2,1744,18,0.363358,-0.293470
Serbia,SER,A,A2,1734,19,-0.001706,-0.187713
Suecia,SUE,B,B4,1731,20,0.577242,0.135684
Kosovo,KOS,B,B3,1714,21,0.228966,-0.305156
Hungria,HUN,B,B2,1710,22,0.119983,-0.095452
Polonia,POL,B,B4,1710,23,0.292092,-0.052608
Irlanda,IRL,B,B3,1699,24,-0.033899,-0.242732
Gales,GAL,A,A4,1682,25,0.156953,-0.064288
Eslovenia,ESN,B,B1,1682,26,-0.199585,-0.457016
Republica Checa,REC,A,A3,1680,27,0.235486,0.104475
Eslovaquia,ESQ,C,C3,1667,28,0.090302,-0.050101
Georgia,GEO,B,B2,1653,29,0.233645,0.000195
Israel,ISR,B,B3,1647,30,0.387987,0.174709
Rumania,RUM,B,B4,1639,31,0.149423,-0.192756
Albania,ALB,C,C1,1616,32,-0.365996,-0.386876
Irlanda del Norte,IDN,B,B2,1605,33,-0.085375,-0.274791
Bosnia-Herzegovina,BOH,B,B4,1605,34,-0.010741,0.056954
Macedonia del Norte,MCN,B,B1,1589,35,-0.246766,0.137192
Islandia,ISL,C,C4,1568,36,0.279960,0.157409
Finlandia,FIN,C,C1,1536,37,-0.148599,0.051292
Bielorrusia,BIE,C,C1,1522,38,-0.075594,0.258573
Montenegro,MON,C,C2,1461,39,-0.340477,0.388663
Bulgaria,BUL,C,C4,1458,40,-0.156064,0.389772
Luxemburgo,LUX,C,C4,1450,41,-0.868848,0.066042
Kazajistan,KAZ,C,C3,1428,42,-0.435335,0.218982
Islas Feroe,ISF,C,C3,1385,43,-0.589802,0.052679
Armenia,ARM,C,C2,1373,44,-0.363337,0.617277
Estonia,EST,C,C4,1360,45,-0.481031,0.293049
Azerbaiyan,AZE,D,D2,1322,46,-0.566615,0.407511
Chipre,CHI,C,C2,1314,47,-0.288345,0.405760
Letonia,LET,C,C2,1288,48,-0.823232,0.438247
Lituania,LIT,D,D2,1278,49,-0.731726,0.238225
Moldavia,MOL,C,C3,1270,50,-0.534602,0.641918
Malta,MAL,D,D1,1255,51,-0.707832,0.404278
Andorra,AND,D,D1,1080,52,-1.434287,0.343820
Gibraltar,GIB,D,D1,1011,53,-1.104635,0.929009
Liechtenstein,LIE,D,D2,895,54,-1.733724,1.023569
San Marino,SAM,C,C1,825,55,-1.333559,1.194183
