name,attack,defense,attack_strength,defense_strength,n_matches
Espana,0.6385,0.5821,1.8937,0.5587,61
Noruega,0.5779,0.2035,1.7823,0.8159,50
Paises Bajos,0.56,0.3021,1.7507,0.7393,57
Alemania,0.5365,0.2577,1.71,0.7728,56
Portugal,0.5332,0.439,1.7044,0.6447,59
Francia,0.5203,0.4781,1.6825,0.62,62
Belgica,0.4848,0.3392,1.6239,0.7124,56
Inglaterra,0.4683,0.477,1.5973,0.6207,61
Suiza,0.3321,0.2829,1.3939,0.7536,58
Austria,0.3141,0.2572,1.369,0.7732,51
Turquia,0.3117,0.1656,1.3657,0.8474,52
Croacia,0.3116,0.2958,1.3656,0.7439,57
Suecia,0.2789,-0.0276,1.3217,1.028,51
Italia,0.2784,0.2119,1.321,0.809,49
Dinamarca,0.2673,0.2841,1.3064,0.7527,49
Ucrania,0.1837,0.1012,1.2016,0.9038,45
Israel,0.1699,-0.0776,1.1851,1.0807,40
Republica Checa,0.1684,0.0833,1.1834,0.9201,50
Grecia,0.1604,0.2519,1.174,0.7773,44
Georgia,0.1545,0.0728,1.167,0.9298,46
Escocia,0.1333,0.1814,1.1426,0.8341,50
Islandia,0.117,-0.0514,1.1241,1.0528,53
Polonia,0.1027,0.0901,1.1082,0.9138,50
Rumania,0.0944,0.1885,1.099,0.8282,48
Kosovo,0.0727,0.1939,1.0754,0.8237,43
Gales,0.0621,0.1397,1.0641,0.8697,46
Serbia,0.0139,0.1714,1.014,0.8425,49
Hungria,0.0134,0.1276,1.0135,0.8802,47
Eslovaquia,-0.0224,0.1307,0.9778,0.8775,48
Bosnia-Herzegovina,-0.0377,0.0017,0.963,0.9983,45
Irlanda,-0.0476,0.1844,0.9535,0.8316,45
Bulgaria,-0.0562,-0.1133,0.9454,1.12,44
Irlanda del Norte,-0.0858,0.1491,0.9177,0.8614,42
Finlandia,-0.0891,0.0171,0.9148,0.9831,46
Bielorrusia,-0.1002,-0.0476,0.9047,1.0488,44
Eslovenia,-0.1158,0.2615,0.8906,0.7699,49
Macedonia del Norte,-0.1245,0.0297,0.8829,0.9708,45
Montenegro,-0.165,-0.0877,0.8479,1.0917,44
Chipre,-0.1754,-0.1955,0.8391,1.2159,44
Kazajistan,-0.19,-0.0547,0.827,1.0562,45
Albania,-0.1914,0.2627,0.8258,0.7689,47
Armenia,-0.1973,-0.3257,0.8209,1.385,43
Azerbaiyan,-0.2083,-0.1899,0.812,1.2091,43
Moldavia,-0.257,-0.3176,0.7734,1.3739,45
Estonia,-0.2769,-0.1413,0.7581,1.1518,48
Islas Feroe,-0.2861,0.0685,0.7512,0.9338,43
Luxemburgo,-0.3339,-0.0246,0.7161,1.0249,42
Malta,-0.3458,-0.1715,0.7077,1.1871,41
Letonia,-0.3553,-0.1405,0.701,1.1509,42
Lituania,-0.3793,-0.0733,0.6844,1.0761,44
Gibraltar,-0.4175,-0.4864,0.6587,1.6265,42
San Marino,-0.5274,-0.6333,0.5901,1.8838,44
Andorra,-0.5532,-0.1115,0.5751,1.1179,45
Liechtenstein,-0.625,-0.5187,0.5353,1.6798,43
